"State","District","week_17","week_18","week_19"
"Andhra Pradesh","Anantapur",1.57,1.44,1.04
"Andhra Pradesh","Chittoor",1.24,1.2,0.95
"Andhra Pradesh","East Godavari",1.42,1.6,2.11
"Andhra Pradesh","Guntur",1.37,1.01,1.14
"Andhra Pradesh","Krishna",1.15,1.52,1.16
"Andhra Pradesh","Kurnool",0.95,2.04,0.89
"Andhra Pradesh","Prakasam",1.49,2.19,0.56
"Andhra Pradesh","S.P.S. Nellore",1.47,0.89,1.34
"Andhra Pradesh","Srikakulam",1.12,1.36,0.63
"Andhra Pradesh","Visakhapatnam",1.36,1.56,1.12
"Andhra Pradesh","Vizianagaram",1.46,1.49,0.87
"Andhra Pradesh","West Godavari",2.88,2.19,1.13
"Andhra Pradesh","Y.S.R. Kadapa",1.52,1.68,1.38
"Arunachal Pradesh","Anjaw",1.24,3.47,0.11
"Arunachal Pradesh","Capital Complex",1,1,1
"Arunachal Pradesh","Changlang",1.83,1.39,1.58
"Arunachal Pradesh","East Kameng",1,1.43,1.23
"Arunachal Pradesh","East Siang",1.08,1.51,0.29
"Arunachal Pradesh","Kamle",1,1,1
"Arunachal Pradesh","Kra Daadi",1,1,1
"Arunachal Pradesh","Kurung Kumey",1,1,1
"Arunachal Pradesh","Lepa Rada",0.7,1.28,0.72
"Arunachal Pradesh","Lohit",2.24,1.4,0.96
"Arunachal Pradesh","Longding",2.57,0.42,1
"Arunachal Pradesh","Lower Dibang Valley",2.19,0.67,0.54
"Arunachal Pradesh","Lower Siang",1.43,2.16,1.36
"Arunachal Pradesh","Lower Subansiri",1.85,1.8,0.38
"Arunachal Pradesh","Namsai",1.12,2.85,0.56
"Arunachal Pradesh","Pakke Kessang",2.38,0.39,1
"Arunachal Pradesh","Papum Pare",1.48,1.3,0.89
"Arunachal Pradesh","Shi Yomi",1,1,1
"Arunachal Pradesh","Siang",1,1.14,0.63
"Arunachal Pradesh","Tawang",2.11,0.88,1.71
"Arunachal Pradesh","Tirap",1.31,1.36,0.28
"Arunachal Pradesh","Upper Dibang Valley",1,2.29,0.44
"Arunachal Pradesh","Upper Siang",1,1.8,0.46
"Arunachal Pradesh","Upper Subansiri",1.39,1.36,1.07
"Arunachal Pradesh","West Kameng",0.94,1.23,0.25
"Arunachal Pradesh","West Siang",1.6,1.18,0.58
"Bihar","Araria",1.33,1.35,1.06
"Bihar","Arwal",1.26,1.05,0.84
"Bihar","Aurangabad",1.25,0.82,1.03
"Bihar","Banka",1.38,1.07,1.26
"Bihar","Begusarai",1.38,0.86,1.15
"Bihar","Bhagalpur",1.13,0.92,0.89
"Bihar","Bhojpur",0.99,0.92,0.8
"Bihar","Buxar",1.11,0.79,0.62
"Bihar","Darbhanga",1.36,1.21,0.6
"Bihar","East Champaran",1.09,0.93,1.86
"Bihar","Gaya",1.2,0.76,0.6
"Bihar","Gopalganj",1.62,1.25,0.84
"Bihar","Jamui",1.24,1.45,0.62
"Bihar","Jehanabad",1.39,0.54,0.83
"Bihar","Kaimur",1.47,0.82,0.39
"Bihar","Katihar",1.19,1.33,1.01
"Bihar","Khagaria",1.41,1.07,0.92
"Bihar","Kishanganj",1.18,1.27,0.87
"Bihar","Lakhisarai",1.06,0.93,0.85
"Bihar","Madhepura",1.33,1.19,0.89
"Bihar","Madhubani",1.52,1.24,0.97
"Bihar","Munger",0.92,1.07,1.89
"Bihar","Muzaffarpur",1,1.14,0.86
"Bihar","Nalanda",1.3,1.27,0.61
"Bihar","Nawada",1.22,0.88,0.59
"Bihar","Patna",0.89,1.17,0.72
"Bihar","Purnia",1.45,0.88,1
"Bihar","Rohtas",1.36,0.82,0.87
"Bihar","Saharsa",1.34,1.26,0.84
"Bihar","Samastipur",1.82,1.07,1.25
"Bihar","Saran",1.18,0.82,0.89
"Bihar","Sheikhpura",1.02,2.28,0.69
"Bihar","Sheohar",1.35,1.45,0.68
"Bihar","Sitamarhi",1.52,1.19,0.73
"Bihar","Siwan",1.09,1.02,1
"Bihar","Supaul",1.93,0.93,1.08
"Bihar","Vaishali",1.24,2.07,0.52
"Bihar","West Champaran",1.48,1.09,0.69
"Chandigarh","Chandigarh",1.19,1.02,1.1
"Chhattisgarh","Balod",1.03,0.94,0.71
"Chhattisgarh","Baloda Bazar",1.07,0.88,0.92
"Chhattisgarh","Balrampur",1.2,1.07,0.99
"Chhattisgarh","Bametara",1.17,0.87,0.54
